zone_name,country_code,abbreviation,time_start,gmt_offset,dst
America/Chicago,US,CDT,2562220800,-18000,1
America/Chicago,US,CST,2582780400,-21600,0
America/Chicago,US,CDT,2593670400,-18000,1
America/Chicago,US,CST,2614230000,-21600,0
America/Chicago,US,CDT,2625120000,-18000,1
America/Chicago,US,CST,2645679600,-21600,0
America/Chicago,US,CDT,2656569600,-18000,1
America/Chicago,US,CST,2677129200,-21600,0
America/Chicago,US,CDT,2688624000,-18000,1
America/Chicago,US,CST,2709183600,-21600,0
America/Chicago,US,CDT,2720073600,-18000,1
America/Chicago,US,CST,2740633200,-21600,0
America/Chicago,US,CDT,2751523200,-18000,1
America/Chicago,US,CST,2772082800,-21600,0
America/Chicago,US,CDT,2782972800,-18000,1
America/Chicago,US,CST,2803532400,-21600,0
America/Chicago,US,CDT,2814422400,-18000,1
America/Chicago,US,CST,2834982000,-21600,0
America/Chicago,US,CDT,2846476800,-18000,1
America/Chicago,US,CST,2867036400,-21600,0
America/Chicago,US,CDT,2877926400,-18000,1
America/Chicago,US,CST,2898486000,-21600,0
America/Chicago,US,CDT,2909376000,-18000,1
America/Chicago,US,CST,2929935600,-21600,0
America/Chicago,US,CDT,2940825600,-18000,1
America/Chicago,US,CST,2961385200,-21600,0
America/Chicago,US,CDT,2972275200,-18000,1
America/Chicago,US,CST,2992834800,-21600,0
America/Chicago,US,CDT,3003724800,-18000,1
America/Chicago,US,CST,3024284400,-21600,0
America/Chicago,US,CDT,3035779200,-18000,1
America/Chicago,US,CST,3056338800,-21600,0
America/Chicago,US,CDT,3067228800,-18000,1
America/Chicago,US,CST,3087788400,-21600,0
America/Chicago,US,CDT,3098678400,-18000,1
America/Chicago,US,CST,3119238000,-21600,0
America/Chicago,US,CDT,3130128000,-18000,1
America/Chicago,US,CST,3150687600,-21600,0
America/Chicago,US,CDT,3161577600,-18000,1
America/Chicago,US,CST,3182137200,-21600,0
America/Chicago,US,CDT,3193027200,-18000,1
America/Chicago,US,CST,3213586800,-21600,0
America/Chicago,US,CDT,3225081600,-18000,1
America/Chicago,US,CST,3245641200,-21600,0
America/Chicago,US,CDT,3256531200,-18000,1
America/Chicago,US,CST,3277090800,-21600,0
America/Chicago,US,CDT,3287980800,-18000,1
America/Chicago,US,CST,3308540400,-21600,0
America/Chicago,US,CDT,3319430400,-18000,1
America/Chicago,US,CST,3339990000,-21600,0
America/Chicago,US,CDT,3350880000,-18000,1
America/Chicago,US,CST,3371439600,-21600,0
America/Chicago,US,CDT,3382934400,-18000,1
America/Chicago,US,CST,3403494000,-21600,0
America/Chicago,US,CDT,3414384000,-18000,1
America/Chicago,US,CST,3434943600,-21600,0
America/Chicago,US,CDT,3445833600,-18000,1
America/Chicago,US,CST,3466393200,-21600,0
America/Chicago,US,CDT,3477283200,-18000,1
America/Chicago,US,CST,3497842800,-21600,0
America/Chicago,US,CDT,3508732800,-18000,1
America/Chicago,US,CST,3529292400,-21600,0
America/Chicago,US,CDT,3540182400,-18000,1
America/Chicago,US,CST,3560742000,-21600,0
America/Chicago,US,CDT,3572236800,-18000,1
America/Chicago,US,CST,3592796400,-21600,0
America/Chicago,US,CDT,3603686400,-18000,1
America/Chicago,US,CST,3624246000,-21600,0
America/Chicago,US,CDT,3635136000,-18000,1
America/Chicago,US,CST,3655695600,-21600,0
America/Chicago,US,CDT,3666585600,-18000,1
America/Chicago,US,CST,3687145200,-21600,0
America/Chicago,US,CDT,3698035200,-18000,1
America/Chicago,US,CST,3718594800,-21600,0
America/Chicago,US,CDT,3730089600,-18000,1
America/Chicago,US,CST,3750649200,-21600,0
America/Chicago,US,CDT,3761539200,-18000,1
America/Chicago,US,CST,3782098800,-21600,0
America/Chicago,US,CDT,3792988800,-18000,1
America/Chicago,US,CST,3813548400,-21600,0
America/Chicago,US,CDT,3824438400,-18000,1
America/Chicago,US,CST,3844998000,-21600,0
America/Chicago,US,CDT,3855888000,-18000,1
America/Chicago,US,CST,3876447600,-21600,0
America/Chicago,US,CDT,3887337600,-18000,1
America/Chicago,US,CST,3907897200,-21600,0
America/Chicago,US,CDT,3919392000,-18000,1
America/Chicago,US,CST,3939951600,-21600,0
America/Chicago,US,CDT,3950841600,-18000,1
America/Chicago,US,CST,3971401200,-21600,0
America/Chicago,US,CDT,3982291200,-18000,1
America/Chicago,US,CST,4002850800,-21600,0
America/Chicago,US,CDT,4013740800,-18000,1
America/Chicago,US,CST,4034300400,-21600,0
America/Chicago,US,CDT,4045190400,-18000,1
America/Chicago,US,CST,4065750000,-21600,0
America/Chicago,US,CDT,4076640000,-18000,1
America/Chicago,US,CST,4097199600,-21600,0
America/Chicago,US,CDT,4108694400,-18000,1
America/Chicago,US,CST,4129254000,-21600,0
America/Chicago,US,CDT,4140144000,-18000,1
America/Chicago,US,CST,4160703600,-21600,0
America/Chicago,US,CDT,4171593600,-18000,1
America/Chicago,US,CST,4192153200,-21600,0
America/Chicago,US,CDT,4203043200,-18000,1
America/Chicago,US,CST,4223602800,-21600,0
America/Chicago,US,CDT,4234492800,-18000,1
America/Chicago,US,CST,4255052400,-21600,0
America/Chicago,US,CDT,4265942400,-18000,1
America/Chicago,US,CST,4286502000,-21600,0
America/Chicago,US,CDT,4297996800,-18000,1
America/Chicago,US,CST,4318556400,-21600,0
America/Chicago,US,CDT,4329446400,-18000,1
America/Chicago,US,CST,4350006000,-21600,0
America/Chicago,US,CDT,4360896000,-18000,1
America/Chicago,US,CST,4381455600,-21600,0
America/Chicago,US,CDT,4392345600,-18000,1
America/Chicago,US,CST,4412905200,-21600,0
America/Chicago,US,CDT,4423795200,-18000,1
America/Chicago,US,CST,4444354800,-21600,0
America/Chicago,US,CDT,4455244800,-18000,1
America/Chicago,US,CST,4475804400,-21600,0
America/Chicago,US,CDT,4487299200,-18000,1
America/Chicago,US,CST,4507858800,-21600,0
America/Chicago,US,CDT,4518748800,-18000,1
America/Chicago,US,CST,4539308400,-21600,0
America/Chicago,US,CDT,4550198400,-18000,1
America/Chicago,US,CST,4570758000,-21600,0
America/Chicago,US,CDT,4581648000,-18000,1
America/Chicago,US,CST,4602207600,-21600,0
America/Chicago,US,CDT,4613097600,-18000,1
America/Chicago,US,CST,4633657200,-21600,0
America/Chicago,US,CDT,4645152000,-18000,1
America/Chicago,US,CST,4665711600,-21600,0
America/Chicago,US,CDT,4676601600,-18000,1
America/Chicago,US,CST,4697161200,-21600,0
America/Chicago,US,CDT,4708051200,-18000,1
America/Chicago,US,CST,4728610800,-21600,0
America/Chicago,US,CDT,4739500800,-18000,1
America/Chicago,US,CST,4760060400,-21600,0
America/Chicago,US,CDT,4770950400,-18000,1
America/Chicago,US,CST,4791510000,-21600,0
America/Chicago,US,CDT,4802400000,-18000,1
America/Chicago,US,CST,4822959600,-21600,0
America/Chicago,US,CDT,4834454400,-18000,1
America/Chicago,US,CST,4855014000,-21600,0
America/Chicago,US,CDT,4865904000,-18000,1
America/Chicago,US,CST,4886463600,-21600,0
America/Chicago,US,CDT,4897353600,-18000,1
America/Chicago,US,CST,4917913200,-21600,0
America/Chicago,US,CDT,4928803200,-18000,1
America/Chicago,US,CST,4949362800,-21600,0
America/Chicago,US,CDT,4960252800,-18000,1
America/Chicago,US,CST,4980812400,-21600,0
America/Chicago,US,CDT,4992307200,-18000,1
America/Chicago,US,CST,5012866800,-21600,0
America/Chicago,US,CDT,5023756800,-18000,1
America/Chicago,US,CST,5044316400,-21600,0
America/Chicago,US,CDT,5055206400,-18000,1
America/Chicago,US,CST,5075766000,-21600,0
America/Chicago,US,CDT,5086656000,-18000,1
America/Chicago,US,CST,5107215600,-21600,0
America/Chicago,US,CDT,5118105600,-18000,1
America/Chicago,US,CST,5138665200,-21600,0
America/Chicago,US,CDT,5149555200,-18000,1
America/Chicago,US,CST,5170114800,-21600,0
America/Chicago,US,CDT,5181609600,-18000,1
America/Chicago,US,CST,5202169200,-21600,0
America/Chicago,US,CDT,5213059200,-18000,1
America/Chicago,US,CST,5233618800,-21600,0
America/Chicago,US,CDT,5244508800,-18000,1
America/Chicago,US,CST,5265068400,-21600,0
America/Chicago,US,CDT,5275958400,-18000,1
America/Chicago,US,CST,5296518000,-21600,0
America/Chicago,US,CDT,5307408000,-18000,1
America/Chicago,US,CST,5327967600,-21600,0
America/Chicago,US,CDT,5338857600,-18000,1
America/Chicago,US,CST,5359417200,-21600,0
America/Chicago,US,CDT,5370912000,-18000,1
America/Chicago,US,CST,5391471600,-21600,0
America/Chicago,US,CDT,5402361600,-18000,1
America/Chicago,US,CST,5422921200,-21600,0
America/Chicago,US,CDT,5433811200,-18000,1
America/Chicago,US,CST,5454370800,-21600,0
America/Chicago,US,CDT,5465260800,-18000,1
America/Chicago,US,CST,5485820400,-21600,0
America/Chicago,US,CDT,5496710400,-18000,1
America/Chicago,US,CST,5517270000,-21600,0
America/Chicago,US,CDT,5528764800,-18000,1
America/Chicago,US,CST,5549324400,-21600,0
America/Chicago,US,CDT,5560214400,-18000,1
America/Chicago,US,CST,5580774000,-21600,0
America/Chicago,US,CDT,5591664000,-18000,1
America/Chicago,US,CST,5612223600,-21600,0
America/Chicago,US,CDT,5623113600,-18000,1
America/Chicago,US,CST,5643673200,-21600,0
America/Chicago,US,CDT,5654563200,-18000,1
America/Chicago,US,CST,5675122800,-21600,0
America/Chicago,US,CDT,5686012800,-18000,1
America/Chicago,US,CST,5706572400,-21600,0
America/Chicago,US,CDT,5718067200,-18000,1
America/Chicago,US,CST,5738626800,-21600,0
America/Chicago,US,CDT,5749516800,-18000,1
America/Chicago,US,CST,5770076400,-21600,0
America/Chicago,US,CDT,5780966400,-18000,1
America/Chicago,US,CST,5801526000,-21600,0
America/Chicago,US,CDT,5812416000,-18000,1
America/Chicago,US,CST,5832975600,-21600,0
America/Chicago,US,CDT,5843865600,-18000,1
America/Chicago,US,CST,5864425200,-21600,0
America/Chicago,US,CDT,5875920000,-18000,1
America/Chicago,US,CST,5896479600,-21600,0
America/Chicago,US,CDT,5907369600,-18000,1
America/Chicago,US,CST,5927929200,-21600,0
America/Chicago,US,CDT,5938819200,-18000,1
America/Chicago,US,CST,5959378800,-21600,0
America/Chicago,US,CDT,5970268800,-18000,1
America/Chicago,US,CST,5990828400,-21600,0
America/Chicago,US,CDT,6001718400,-18000,1
America/Chicago,US,CST,6022278000,-21600,0
America/Chicago,US,CDT,6033168000,-18000,1
America/Chicago,US,CST,6053727600,-21600,0
America/Chicago,US,CDT,6065222400,-18000,1
America/Chicago,US,CST,6085782000,-21600,0
America/Chicago,US,CDT,6096672000,-18000,1
America/Chicago,US,CST,6117231600,-21600,0
America/Chicago,US,CDT,6128121600,-18000,1
America/Chicago,US,CST,6148681200,-21600,0
America/Chicago,US,CDT,6159571200,-18000,1
America/Chicago,US,CST,6180130800,-21600,0
America/Chicago,US,CDT,6191020800,-18000,1
America/Chicago,US,CST,6211580400,-21600,0
America/Chicago,US,CDT,6222470400,-18000,1
